species,sal_adapt,sal_exp,time,repl,id,m63_cor_n_m,m64_n_m,m65_n_m,conc_n_m,mp64_rt,d3_p_in_fraction_n_m_m66,d3_p_taken_up,up_dmspp,d3_p_lost_demethylated,x12c_dic_18,x13c_dic_19,x13c_sample_20,x13c_added,p_12c,q_13c,probability_13c_dms,rm,u_dmsp_h_1,vol_filtered_m_l,x12c_dic_29,x13c_dic_30,x13c_sample_31,x12c_poc_mg,x13c_poc_mg,x13_12c_poc,u_poc_h_1,total_poc_mg_l,dmsp_c_poc_mol_mol,dms_puptake_c_poc_mol_mol,dmsp_uptake_of_total_dmsp,u_dmsp_u_poc,yield,cell_dens_avr,cell_size_avr,salinity,diff_sal
Chryso,45,25,24,A,DMSPp,2907.099941518695,89.26882507293382,122.20710814478123,3118.57587473641,2.8624868740921383,68.13046568591487,46.66470252459923,2.1379587074498287,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017796387885589096,30,NA,NA,NA,0.18093044147144166,0.006704781795875445,3.5733065887759174,0.01913158960948323,6.254507442243903,2.9916752711873706,0.06535811139251471,2.1379587074498287,0.09302095773979861,NA,NA,NA,NA,NA
Chryso,45,25,24,B,DMSPp,3746.2615191258374,116.39055344571346,155.01184046037113,4017.663913031922,2.896970875741559,69.69712654999583,47.73775791095605,1.7051864485434567,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0019812686553987487,30,NA,NA,NA,0.22813620961617107,0.009341112149714708,3.933475449467774,0.023305600652027875,7.915910725529526,3.0452571174719747,0.052828129800819745,1.7051864485434567,0.0850125549210573,NA,NA,NA,NA,NA
Chryso,45,25,24,C,DMSPp,2049.2773854412485,66.49057334988005,88.66570693391438,2204.433665725043,3.016220192228427,64.21939063506905,43.98588399662263,2.8307277066906114,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0022872457979241233,30,NA,NA,NA,0.17527567135985667,0.007040537672099862,3.8617178963313084,0.018996785190771515,6.077206967731884,2.1764277676537067,0.06340352498381684,2.8307277066906114,0.12040172981664544,NA,NA,NA,NA,NA
Chryso,45,45,24,A,DMS,4.567010291119502,0.24113990079076622,0.6203442194925003,5.428494411402768,4.442113825966962,0.9576075475325766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012564708225259106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99518099914934,NA,NA,NA,NA,NA,NA
Chryso,45,45,24,B,DMS,11.305183199405716,0.40413783625219674,0.3530349823772303,12.062356018035143,3.3504054734244817,1.5039618233984176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0038504619030072795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.085998728447107,NA,NA,NA,NA,NA,NA
Chryso,45,45,24,C,DMS,8.427421135452777,0.2836779914005224,0.06351524495300187,8.774614371806301,3.232939698318911,1.0258148994104443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035281369684040625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.467040483861243,NA,NA,NA,NA,NA,NA
Chryso,45,45,24,A,DMS(P)t,4313.678426863448,218.4521031673412,177.6018579137764,4709.732387944566,4.638312438441511,110.50551679558362,74.87197647563684,NA,23.494556207714083,15579.173799999999,1129.2804768866665,6.758736973346696,5.658736973346697,0.943412630266533,0.056587369733466966,10.677047864022974,10.349052571906713,0.014056617710759143,NA,15579.173799999999,1129.2804768866665,6.758736973346696,NA,NA,NA,NA,NA,NA,NA,2.292532422246507,NA,0.603,140500,4.873333333333333,41.9,3.1000000000000014
Chryso,45,45,24,B,DMS(P)t,3744.4223979111757,192.9574972129354,153.17790459597722,4090.557799720088,4.717143887470292,91.41147766958905,60.604652469235376,NA,35.38345018212709,14839.1567,1396.857666015,8.603451774093543,7.503451774093543,0.9249654822590646,0.07503451774093543,13.880867777664136,12.704802508407568,0.010826535039248035,NA,14839.1567,1396.857666015,8.603451774093543,NA,NA,NA,NA,NA,NA,NA,2.1858476618615126,NA,0.622,189333.33333333334,4.9799999999999995,43.8,1.2000000000000028
Chryso,45,45,24,C,DMS(P)t,1077.6077664233687,64.10659507309649,48.776449472112354,1190.4908109685775,5.38488785318214,35.81340564030535,22.41975961749749,NA,73.36029983625728,14785.8613,1302.5833129900002,8.096390573009643,6.996390573009643,0.9300360942699035,0.06996390573009643,13.013791525017322,12.06724644028491,0.015858217219428365,NA,14785.8613,1302.5833129900002,8.096390573009643,NA,NA,NA,NA,NA,NA,NA,2.920434028950882,NA,0.613,156666.66666666666,5.353333333333333,43.6,1.3999999999999986
Chryso,45,45,24,A,DMSPd,6.234556058768832,0.40173614319042833,0.3442533000694279,6.980545502028688,5.755082365320527,0.23482359362124128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02366746178971513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.254491773162567,NA,NA,NA,NA,NA,NA
Chryso,45,45,24,B,DMSPd,59.48760774810948,3.5564066185371543,3.1856992456315356,66.22971361227818,5.3698052196889465,1.424723241106986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014591329804486132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.105882935947753,NA,NA,NA,988.9502903568766,NA,NA
Chryso,45,45,24,C,DMSPd,100.92373865847416,6.238653175094339,4.712416350177928,111.87480818374644,5.576459326614258,2.0547416993485674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01714290200854044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,942.428698936163,NA,NA
Chryso,45,45,24,A,DMSPp,4408.09988116549,224.5816632717767,186.8028705685786,4819.484415005845,4.659869063431847,108.37855837454345,74.23188929763249,2.19930137992856,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014223651356789288,30,NA,NA,NA,0.23998114642363344,0.007313453486787015,2.9573850336546883,0.016600116789460332,8.243153330347347,3.5079908538855937,0.07888623736419807,NA,0.8568404389672789,NA,NA,753.1870102882569,NA,NA
